Raza,Foto,Acerca de,Tamaño,No Alergia,País,Categoría de tamaño,Esperanza de vida promedio,Rasgo 1,Rasgo 2,Rasgo 3,Rasgo 4,Rasgo 5,Rasgo 6,Casa,Experiencia,Sociable,Entrenamiento,Actividades,Cuidados,Ejercicio,Guardia
Pastor Blanco Suizo,https://cdn.royalcanin-weshare-online.io/dmnDsmoBG95Xk-RBofZK/v1/bd325bl-hub-white-swiss-shepherd-dog-adult-standing?w=320&fm=jpg&auto=compress,"Estos perros pastores de tamaño mediano son fuertes y musculosos, y tienen las orejas erguidas, un doble pelaje de medio a largo y un cuerpo alargado. Los Pastores Blancos Suizos son perros familiares y de compañía dóciles, y a la mayoría les encantan los niños. Son perros guardianes atentos, trabajadores y con mucha energía. Los Pastores Blancos Suizos, siempre alerta y vigilantes, son perros equilibrados y para nada nerviosos. Aunque a veces se muestran algo tímidos con los extraños, nunca están ansiosos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Suiza,Grande,12–14 años,Alerta,Afable,Inteligente,Sociable,Cariñoso,Obediente,,Necesita un dueño con experiencia,,Necesita poco entrenamiento,,Necesita cuidados moderados,,
Pastor De Beauce,https://cdn.royalcanin-weshare-online.io/DSLVxWoBaxEApS7LHhzc/v1/bd142bl-hub-beauce-sheep-dog-adult-standing?w=320&fm=jpg&auto=compress,"Los pastores de Beauce son perros grandes, de complexión maciza, poderosos y musculosos, pero a la vez esbeltos. El cuerpo, caracterizado por unas proporciones medianas, debe medir ligeramente más desde la base del cuello hasta la base de la cola que la altura hasta la cruz. Hoy en día, es la raza más popular de perros pastores franceses, tanto en su país natal como en el extranjero. Estos perros son audaces y francos. Su expresión es sincera, nunca cruel, reservada ni preocupada. Deben destacar por su buen comportamiento y su audacia. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Francia,Grande,10–12 años,Alegre,Seguro,Alerta,Independiente,Inteligente,Leal,,,,,Un gran perro deportivo,,,Un gran perro guardián
Pastor De Brie,https://cdn.royalcanin-weshare-online.io/82lWHWsBG95Xk-RBp_ig/v1/bd40bl-hub-briard-adult-standing?w=320&fm=jpg&auto=compress,"El Pastor de Brie es un perro robusto y musculoso, con un carácter equilibrado. Desde la década de 1990, la demanda mundial de esta raza ha alcanzado un nivel sin precedentes, y actualmente es la raza de pastor francés más extendida. El Pastor de Brie se adapta fácilmente al hogar familiar, por lo que es excelente como animal de compañía y perro guardián. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Francia,Grande,10–12 años,Protector,Fuerte,Alegre,Alerta,Equilibrado,Sociable,,,,Entrenar la obediencia es esencial,,Necesita cuidados moderados,,Un gran perro guardián
Pastor De La Maremma Y De Los Abruzos,https://cdn.royalcanin-weshare-online.io/jPrZsmoBIYfdNSoCahhs/v5/bd247bl-hub-maremma-and-the-abbruzes-sheepdog-adult-standing?w=320&fm=jpg&auto=compress,"Los Pastores de la Maremma y de los Abruzos son perros grandes y de complexión poderosa, con un aspecto robusto y en cierto modo rústico, pero a la vez majestuosos y elegantes. Los valientes perros guardianes de esta raza muestran gran coraje, decisión y resolución en su tarea principal de proteger y defender el ganado y las propiedades en general. Aunque orgullosos, los Pastores de la Maremma y de los Abruzos desarrollan una fuerte lealtad hacia sus compañeros humanos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Italia,Grande,10–13 años,Cariñoso,Tranquilo,Inteligente,Dócil,,,Requiere espacio exterior,,Un gran perro para una familia,,,Necesita cuidados moderados,,
Pastor Holandés,https://cdn.royalcanin-weshare-online.io/vyJ7wWoBaxEApS7LwRuK/v1/bd183bl-hub-dutch-shepherd-dog-adult-sitting?w=320&fm=jpg&auto=compress,"Cariñoso, obediente, muy leal y seguro, los Pastores Holandeses son poco exigentes y derrochan energía. Añade un constante estado de alerta a la mezcla y obtendrás la definición de un perro pastor. Los Pastores Holandeses son miembros de la familia de razas de perros pastores holandeses en la que también están el Schapendoes Neerlandés y el Perro Lobo de Saarloos. Los expertos dicen que originalmente se cruzaron con su primo belga, que tiene una fisonomía, variedades y aptitudes similares. Hoy en día, los Pastores Holandeses son reconocidos como perros de trabajo. Su valentía, coraje, resistencia e infatigabilidad son muy apreciados. Esta raza demuestra su carácter desde una edad muy temprana, por lo que es imprescindible ser firme en su educación. Una vez que haya sido educado y socializado adecuadamente, te sorprenderá de lo que tu perro es capaz. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Países Bajos,Grande,12–15 años,Cariñoso,Alerta,Inteligente,Leal,Fuerte,Tímido,,,Un gran perro para una familia,,Es un perro de trabajo versátil,,Necesita mucho ejercicio físico y mental,
Pastor Polaco De Podhale,https://cdn.royalcanin-weshare-online.io/f2nFsmoBG95Xk-RBlfZh/v1/bd317bl-hub-tatra-shepherd-dog-adult-standing?w=320&fm=jpg&auto=compress,"Los Pastores Polacos de Podhale son perros guardianes y pastores, con una actitud imponente y un aspecto atractivo que los convierten en compañeros muy queridos. El primer estándar establecido en 1938 destacaba estas aptitudes. Su denso pelaje les permite vivir en climas extremos. Los Pastores Polacos de Podhale son perros fuertes y compactos con gran potencia y movilidad. A primera vista, este robusto animal puede recordar a otra gran raza blanca, el Kuvasz, pero si se le observa más de cerca, el polaco se diferencia del húngaro en muchos aspectos, en particular su cabeza dominante. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Polonia,Grande,10–12 años,Cariñoso,Seguro,Alerta,Tranquilo,Seguro,Independiente,,,,,,Requiere cuidados mínimos,Necesita mucho ejercicio,Un gran perro guardián
Pastor Rumano De Los Cárpatos,https://cdn.royalcanin-weshare-online.io/ovrssmoBIYfdNSoCSBi0/v1/bd283bl-hub-romanian-carpathian-shepherd-dog-adult-standing?w=320&fm=jpg&auto=compress,"Los individuos de esta raza relativamente grande, son ágiles sin ser pesados, por lo que, generalmente, son perros vigorosos. Se han utilizado durante cientos de años para el pastoreo. También son apreciados como perros guardianes. Estos valientes e innatos guardianes tienen un vínculo incondicional con su rebaño y su pastor. Son perros majestuosos, tranquilos y equilibrados. En cuanto a su aspecto, la raza se caracteriza por tener un cuerpo rectangular. Es fácil diferenciar entre machos y hembras: los machos son más altos y más fuertes. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Rumanía,Grande,12–14 años,Dócil,Inteligente,Leal,Seguro,Tranquilo,Equilibrado,Requiere espacio exterior,,,Necesita poco entrenamiento,,Requiere cuidados mínimos,,
Pastor Rumano De Mioritza,https://www.worldlifeexpectancy.com//images/a/d/d/b/ciobanesc_romanesc_mioritic/ciobanesc_romanesc_mioritic_1.min.jpg,"Los pastores rumanos de Mioritza son perros tranquilos y equilibrados que muestran un gran valor y una gran capacidad de lucha cuando depredadores como osos, lobos o linces amenazan a su rebaño. Desconfían de los extraños y son conocidos por ser excelentes perros guardianes. Es un buen perro pastor y un luchador muy valiente y eficaz contra posibles presas. Su carácter tranquilo y su paciencia con los niños lo convierten en un magnífico y cariñoso perro de familia. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Rumanía,Grande,12–14 años,Tranquilo,Tranquilo,Dócil,,,,,,Un gran perro para una familia,,,Requiere muchos cuidados,,Un gran perro guardián
Perdiguero De Burgos,https://cdn.royalcanin-weshare-online.io/3Prgu2oBIYfdNSoCGxgS/v1/bd260bl-hub-burgos-pointing-dog-adult-standing?w=320&fm=jpg&auto=compress,"Los Perdigueros de Burgos son perros de gran tamaño y pelo corto. Su cabeza está bien desarrollada, orejas grandes y largas que forman un pliegue al caer, el torso compacto y extremidades firmes. De constitución casi cuadrada, están bien proporcionados y son armoniosos en sus movimientos. El Perdiguero de Burgos es una raza resistente que puede trabajar en cualquier tipo de terreno y cazar cualquier tipo de presa. Los Perdigueros de Burgos son obedientes, fuertes y, sobre todo, están dotados de un agudo sentido del olfato y excelentes habilidades de caza, gracias a su tranquilidad y seguridad para seguir rastros, y a su impecable capacidad de señalización y recuperación de las presas. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, España,Grande,12–14 años,Dócil,Tranquilo,Fuerte,Trabajador,Obediente,Equilibrado,,,,Disfruta del entrenamiento,,Requiere cuidados mínimos,,Un gran perro guardián
Perdiguero De Drente,https://cdn.royalcanin-weshare-online.io/wiJ_wWoBaxEApS7LXRuE/v1/bd181bl-hub-drentsche-partridge-dog-adult-standing?w=320&fm=jpg&auto=compress,"El Perdiguero de Drente es un perro de caza ideal para diversos tipos de terreno. Tiene una capacidad innata para mantener el contacto con el cazador. Mientras busca a una presa, mueve la cola en círculos, especialmente cuando detecta un rastro olfativo. Los ejemplares de esta raza tan adaptable son capaces de cazar muchos tipos de presa, tanto en campo abierto como en marismas. Además, son buenos perros cobradores y destacan en la búsqueda de presas perdidas. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Países Bajos,Grande,12–14 años,Tranquilo,Afable,Leal,Inteligente,Trabajador,Dócil,Requiere espacio exterior,,Un gran perro para una familia,,,,Necesita mucho ejercicio,
Perro Crestado Rodesiano,https://cdn.royalcanin-weshare-online.io/JiIux2oBaxEApS7LDhyA/v1/bd98bl-hub-rhodesian-ridgeback-adult-standing?w=320&fm=jpg&auto=compress,"Los Perros Crestados Rodesianos se siguen utilizando para cazar en muchos lugares del mundo, pero son especialmente valorados como perros guardianes y de familia.  Esta raza se caracteriza por su agilidad y su elegancia. Cuenta con una cresta muy característica en el lomo, formada por unos pelos que crecen en sentido contrario al resto del pelaje. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Sudáfrica,Grande,10–12 años,Ágil,Alegre,Inteligente,Tímido,Equilibrado,,,,,La educación deberá comenzar pronto,,Necesita cuidados moderados,,Un gran perro guardián
Perro De Agua Frisón,https://cdn.royalcanin-weshare-online.io/BPpvwWoBIYfdNSoCPhku/v1/bd196bl-hub-frisian-water-dog-adult-standing?w=320&fm=jpg&auto=compress,"Los Perros de Agua Frisones son animales tranquilos, de fuerte carácter y desconfiados con los extraños, lo cual los convierte en los perros guardianes ideales. Estos enérgicos perros de agua son adecuados para varias disciplinas. Se especializan en la caza de nutrias en zonas pantanosas, pero también son buenos para atrapar topos y otras plagas en los jardines. Por su carácter, prefieren disuadir a actuar. La mayoría de los Perros de Agua Frisones se encuentran en su tierra natal, aunque actualmente algunos viven en los Estados Unidos y otras partes de Europa. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Países Bajos,Grande,12–14 años,Alerta,Seguro,Afable,Independiente,Inteligente,Leal,,,,,,Requiere cuidados mínimos,Necesita mucho ejercicio,Un gran perro guardián
Perro De Castro Laboreiro,https://cdn.royalcanin-weshare-online.io/Ufo_x2oBIYfdNSoCGhmN/v1/bd161bl-hub-castro-laboreiro-dog-adult-standing?w=320&fm=jpg&auto=compress,"Los Perros de Castro Laboreiro son perros lupoides tipo mastín con un cuerpo casi rectangular. Son animales robustos y a veces son de un color bastante llamativo. Su andar es relajado, ágil y dinámico. Los Perros de Castro Laboreiro son leales y dóciles con la gente que conocen y, a su vez, protegen muy bien al ganado contra los ataques de la gran cantidad de lobos que todavía merodea las montañas del norte de Portugal. Se trata de perros guardianes increíbles, que parecen no detenerse ni por un momento. Estos perros son nobles, pero también son perros de montaña robustos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Portugal,Grande,11–13 años,Seguro,Tranquilo,Dócil,Fuerte,Inteligente,Leal,,,Paciente con niños y otros animales,,,Necesita cuidados moderados,,Un gran perro guardián
Perro De Groenlandia,https://fello.pet/wp-content/uploads/2020/12/grenlandskaya-sobaka-3.jpg,"Los Perros de Groenlandia son perros polares tipo Spitz muy fuertes, concebidos para la dura tarea de tirar de trineos en las frías condiciones climáticas del Ártico. Tienen un instinto sumamente desarrollado para cazar debido a sus antecedentes como cazadores de focas y osos polares. Los Perros de Groenlandia son animales robustos que resultan especialmente adecuados para las personas que disfrutan de la vida al aire libre.  Son excelentes compañeros para quienes les gusta pasear por el bosque o la montaña. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Dinamarca,Grande,12–14 años,Afable,Independiente,Leal,Tranquilo,Fuerte,Alegre,Necesita mucho espacio,,Un gran perro para una familia,,,,,
Perro De Muestra Alemán De Pelo Largo,https://cdn.royalcanin-weshare-online.io/PfqlH2YBIYfdNSoCEghb/v2/bd198bl-german-longhaired-pointer-adult-standing?w=320&fm=jpg&auto=compress,"Estos Spaniels equilibrados y tranquilos son excelentes compañeros y fáciles de educar. Son fuertes, musculosos y bastante bajos a la cruz, pero de constitución muy elegante. Los más pequeños suelen tener un peso considerable. Los Perros de Muestra Alemanes de Pelo Largo combinan las genealogías de los perros de aguas, de los cazadores de aves y de los perros sabuesos, lo cual explica sus habilidades excepcionalmente versátiles. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Alemania,Grande,12–14 años,Cariñoso,Afable,Dócil,Inteligente,Sociable,,,,Dócil con los niños,,,,,
Perro De Pastor Mallorquín,https://cdn.royalcanin-weshare-online.io/RCI-x2oBaxEApS7L8xz6/v3/bd160bl-hub-majorca-shepherd-dog-adult-standing?w=320&fm=jpg&auto=compress,"El Perro de Pastor Mallorquín es grande y de peso mediano. Tiene el pelaje negro (a veces con marcas blancas en el pecho) y es equilibrado, resistente, fuerte, musculoso, robusto y ágil. Hay dos variedades de manto: el de pelo corto (el más común) y el de pelo largo. Este perro extremadamente noble solo reconoce a un propietario y tienen dificultades para relacionarse con personas desconocidas. Inteligente, obediente, cariñoso, huraño y reservado cuando es joven, es inusualmente sensible. Fiel compañero hasta el final, es valiente y combativo. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, España,Grande,11–13 años,Seguro,Leal,Sensible,Inteligente,Obediente,Cariñoso,,,Un gran perro para una familia,Disfruta del entrenamiento,,Requiere cuidados mínimos,,
Perro De San Huberto,https://cdn.royalcanin-weshare-online.io/42lJHWsBG95Xk-RBLPhd/v1/bd32bl-hub-bloodhound-adult-standing?w=320&fm=jpg&auto=compress,"Los Perros de San Huberto son imponentes y de una gran nobleza, reforzada por su aspecto solemne. A pesar de su presencia, los Perros de San Huberto son animales extremadamente cariñosos y de naturaleza dócil. Su excepcional olfato es legendario, por lo que no es de extrañar que se los suela utilizar para buscar a personas desaparecidas. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Bélgica,Grande,10–12 años,Dócil,Equilibrado,Cariñoso,Sociable,Tranquilo,Obstinado,,Necesita un dueño con experiencia,Un gran perro para una familia,,,,,Un gran perro guardián
Perro Del Faraón,https://cdn.royalcanin-weshare-online.io/s_rwsmoBIYfdNSoC7hi_/v1/bd265bl-hub-pharaoh-hound-adult-standing?w=320&fm=jpg&auto=compress,"Estos perros de tamaño mediano son elegantes y tienen mucha energía. Los Perros del Faraón son muy rápidos en su movimiento. Están siempre en alerta. Son cazadores apasionados que cazan tanto por el olfato como por la vista, y también utilizan su sentido del oído en distancias cortas. El Perro del Faraón es una raza increíblemente alegre, inteligente y cariñosa, que se lleva bien con todos los miembros de la familia, incluidos los niños y otras mascotas. Debido a su naturaleza afable, el Faraón no es la opción más adecuada como perro guardián. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Malta,Grande,11–14 años,Independiente,Inteligente,Sociable,Fuerte,,,,Necesita un dueño con experiencia,,,,Necesita cuidados moderados,,Un gran perro guardián
Perro Lobo Checoslovaco,https://cdn.royalcanin-weshare-online.io/HSKMHWsBaxEApS7LYB19/v1/bd54bl-hub-czechoslovakian-wolfdog-adult-standing?w=320&fm=jpg&auto=compress,"Los Perros Lobo Checoslovacos son temperamentales, reaccionan rápidamente y están llenos de energía. Todo lo que se puede decir de estos perros intrépidos y muy versátiles es que son unos compañeros excepcionalmente leales.  Estos perros cariñosos forman vínculos increíblemente fuertes con sus propietarios; sin embargo, pueden ser tímidos en compañía de extraños. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, República Checa,Grande,12–16 años,Alegre,Fuerte,Tranquilo,Seguro,Leal,,,,,Entrenar la obediencia es esencial,,Requiere cuidados mínimos,,Un gran perro guardián
Perro Lobo De Saarloos,https://cdn.royalcanin-weshare-online.io/oPrqsmoBIYfdNSoCrRgM/v1/bd288bl-hub-saarloos-wolfhond-adult-standing?w=320&fm=jpg&auto=compress,"El Perro Lobo de Saarloos es un perro robusto cuyo aspecto, incluidos sus movimientos y el pelaje, recuerdan al de un lobo. Alegre y rebosante de energía, orgulloso e independiente, el Perro Lobo de Saarloos solo se guiará por su propia voluntad. No obstante, es muy fiel y leal a su propietario. Con extraños, esta raza es reservada y desconfiada. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Países Bajos,Grande,10–12 años,Alerta,Independiente,Leal,,,,Necesita mucho espacio,,,,,Necesita cuidados moderados,Necesita mucho ejercicio,
Podenco Canario,https://cdn.royalcanin-weshare-online.io/rvrvsmoBIYfdNSoCyRgu/v1/bd268bl-hub-canarian-warren-hound-podenco-canario-adult-standing?w=320&fm=jpg&auto=compress,"Imponente pero no agresivo, el podenco canario es un perro valiente y dinámico que puede trabajar todo el día sin mostrar el menor signo de cansancio. Se dedican desinteresadamente a su compañero humano. Gracias al olfato y al oído, también pueden detectar la presencia de conejos en el fondo de las grietas naturales del terreno, en grietas de las paredes o en los montones de piedras en los bordes de los campos arados. Sin duda, que existan a día de hoy se debe a su don como cazadores, que los ha hecho insustituibles. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, España,Grande,11–13 años,Seguro,Entusiasta,Leal,Tímido,,,Requiere espacio exterior,,,Disfruta del entrenamiento,,Necesita cuidados moderados,,
Pointer Inglés,https://cdn.royalcanin-weshare-online.io/rfrvsmoBIYfdNSoClhiN/v1/bd269bl-hub-english-pointer-adult-standing?w=320&fm=jpg&auto=compress,"El Pointer Inglés es un perro armonioso de buena complexión y gran elegancia, lleno de fuerza y agilidad. Los miembros de esta raza de atletas consumados, que fue una de las primeras en ser registradas por la FCI, son auténticos deportistas de élite en todos los sentidos. El Pointer Inglés se queda inmóvil al observar a su presa, mientras muestra su cuerpo en todo el esplendor de su cuerpo, con una expresión de determinación. Es un espectáculo verdaderamente digno de ver. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Reino Unido,Grande,12–15 años,Alerta,Fuerte,Atlético,Cariñoso,Equilibrado,,,,Dócil con los niños,,,Requiere cuidados mínimos,,Un gran perro guardián
Poitevino,https://fello.pet/wp-content/uploads/2020/12/poitevin_01.jpg,"En su Francia natal, el poitevino está muy valorado para formar parte de los grandes grupos de caza. El poitevino es un atleta nato con músculos poderosos que muestra una gran destreza a la hora de acercarse al jabalí, el ciervo o el corzo. Este cazador excelente trabaja siempre muy duro. El poitevino se siente tan a gusto en tierra como en el agua y muchos lo consideran el sabueso más bonito. El poitevino se encuentra entre las razas con el registro más largo de servicio en grupos de caza. La cría controlada comenzó en el siglo XIX, a partir de los sabuesos descendientes de los ilustres king’s whites. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Francia,Grande,10–12 años,Independiente,Alegre,,,,,Requiere espacio exterior,,,Necesita poco entrenamiento,,Necesita cuidados moderados,,
Presa Canario,https://cdn.royalcanin-weshare-online.io/3SIwxWoBaxEApS7LOxt5/v1/bd180bl-hub-presa-canario-adult-standing?w=320&fm=jpg&auto=compress,"Esta es una raza de tamaño medio, con cuerpo bien proporcionado y una máscara negra característica. El cuerpo es más largo que la altura hasta la cruz, característica que es ligeramente más pronunciada en las hembras. Los presas canarios son perros equilibrados y muy seguros de sí mismos. Son obedientes y dóciles con la familia, tienen mucho apego a sus propietarios y tratan a los extraños con recelo. Son seguros de sí mismos, nobles y un poco distantes, pero muy firmes y guardianes cuando están en alerta. Su ladrido es grave y profundo. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, España,Grande,9–11 años,Cariñoso,Seguro,Tranquilo,Obediente,,,Requiere espacio exterior,,,,,Necesita cuidados moderados,Necesita mucho ejercicio,
Pudelpointer,https://cdn.royalcanin-weshare-online.io/w2nssmoBG95Xk-RB9vY-/v1/bd279bl-hub-pudelpointer-adult-standing?w=320&fm=jpg&auto=compress,"Los Pudelpointers son perros equilibrados, tranquilos y disciplinados con un instinto de caza muy desarrollado. Nunca rechazarán ir de caza. Aunque los Caniches sólo se utilizaron para crear la base de la raza, sus habilidades de caza se conservan en la raza actual. Gracias a su combinación con las aptitudes excepcionales del Pointer, se logró la creación de un perro de caza versátil: tiene un olfato fino incluso a grandes distancias, puede realizar una búsqueda rápida en una zona extensa y una muestra firme. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Alemania,Grande,12–14 años,Cariñoso,Alerta,Dócil,Inteligente,Leal,Seguro,Necesita mucho espacio,Necesita un dueño con experiencia,,Requiere mucho entrenamiento,,,,
Retriever De La Bahía De Chesapeake,https://cdn.royalcanin-weshare-online.io/zvp8HWsBIYfdNSoCyhpI/v1/bd49bl-hub-chesapeake-bay-retriever-adult-standing?w=320&fm=jpg&auto=compress,"El retriever de la bahía de Chesapeake es un perro tranquilo e inteligente, de naturaleza alegre, afectuoso y un instinto protector. La raza tiene muchas cualidades, incluido el coraje, la vivacidad y la inteligencia, por las cuales se ha hecho popular.  El retriever de la bahía de Chesapeake es cariñoso con los niños y las personas mayores por igual y prospera con la interacción con el hombre. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Estados Unidos,Grande,10–13 años,Afable,Inteligente,Tranquilo,Cariñoso,Protector,Trabajador,Requiere espacio exterior,Necesita un dueño con experiencia,,Necesita un entrenamiento moderado,,,,
Retriever De Pelo Liso,https://cdn.royalcanin-weshare-online.io/__puwWoBIYfdNSoCPxjl/v3/bd193bl-hub-flat-coated-retriever-adult-sitting?w=320&fm=jpg&auto=compress,"Los Retriever de Pelo Liso comparten una serie de características con otros perros de presa, como la habilidad de relacionarse con el hombre y con otros perros, la destreza natural para atrapar a las presas y el amor por el agua. Estos perros cariñosos y enérgicos conservan la emoción del cachorro hasta bien entrada la edad adulta y son los más adecuados para familias activas y amantes de la vida al aire libre. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Reino Unido,Grande,10–13 años,Alegre,Inteligente,Afable,Entusiasta,Seguro,Cariñoso,,Necesita un propietario con algo de experiencia,Paciente con niños y otros animales,,,Requiere cuidados mínimos,,
Retriever De Pelo Rizado,https://cdn.royalcanin-weshare-online.io/GvotxWoBIYfdNSoC4RkO/v1/bd173bl-hub-curly-coated-retriever-adult-standing?w=320&fm=jpg&auto=compress,"Inteligente, equilibrado, de confianza, valiente, afable, seguro de sí mismo e independiente: nada más y nada menos que siete adjetivos para describir la personalidad de los retrievers de pelo rizado, que son bastante distantes con los extraños. Lamentablemente, no es muy frecuente ver estos perros de agua. El retriever de pelo rizado, que para muchos es el perro de caza ideal, sigue siendo una gran mascota para toda la familia. Su naturaleza enérgica lo convierte en un compañero excelente para caminar y su personalidad juguetona, como la de un cachorro, y su paciencia con los niños lo hacen muy apto para la vida en familia. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Reino Unido,Grande,8–12 años,Inteligente,Equilibrado,Leal,Seguro,Afable,Independiente,Requiere espacio exterior,,,Necesita poco entrenamiento,,Necesita cuidados moderados,,
Sabueso Artesiano,https://smylepets.com/wp-content/uploads/2021/03/basset-de-artois-perro.jpg.webp,"El sabueso artesiano es un perro grande que actualmente se utiliza especialmente para cazar. Este sabueso trabajador, no demasiado rápido, pero capaz de mantener su ritmo, conduce la presa hacia la línea de fuego siguiendo el olor de cerca gracias a su nariz excelente. Un grupo de seis a ocho sabuesos artesianos bien coordinado trabaja a la satisfacción del cazador más exigente. Es conocido por ser un perro resistente, bien equilibrado y cariñoso, tanto sobre el terreno como en el hogar. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Francia,Grande,10–13 años,Cariñoso,Seguro,Dócil,Tranquilo,Inteligente,Leal,Necesita mucho espacio,,,Requiere mucho entrenamiento,,Requiere cuidados mínimos,,
Sabueso De Hamilton,https://cdn.royalcanin-weshare-online.io/k2nOsmoBG95Xk-RBFPaA/v1/bd214bl-hub-hamiltonstovare-adult-standing?w=320&fm=jpg&auto=compress,"Los sabuesos de Hamilton son grandes compañeros gracias a su carácter afable y estable. Son animales bien proporcionados, y dan la impresión de tener gran fuerza y vigor. Nunca hay ninguna muestra de pesadez en estos perros bien tonificados. Los sabuesos de Hamilton se usan a veces para cazar liebres y zorros, aunque no cazan en manadas. En Suecia nunca se usan para cazar ciervos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Suecia,Grande,10–13 años,Dócil,Leal,Tranquilo,Obstinado,Afable,,,,,Requiere mucho entrenamiento,,Requiere cuidados mínimos,,Un gran perro guardián
Sabueso Francés Blanco Y Negro,https://cdn.royalcanin-weshare-online.io/FvoqxWoBIYfdNSoCSRmM/v1/bd166bl-hub-french-white-and-black-hound-adult-standing?w=320&fm=jpg&auto=compress,"Debido a su ingenio y fiabilidad, a los perros de esta raza se les valora muchísimo para la caza de manadas de corzos. Distinguidos y bien proporcionados, tienen una nariz fina y buena voz. Estos afables canes establecen relaciones estrechas con el h ombre y pueden vivir de manera pacífica en las residencias. Su naturaleza despierta les ha conferido la reputación de ser excelentes perros guardianes. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Francia,Grande,12–15 años,Afable,Dócil,Equilibrado,,,,Requiere espacio exterior,,,Disfruta del entrenamiento,,Necesita cuidados moderados,,
Sabueso Francés Tricolor,https://cdn.royalcanin-weshare-online.io/1iIqxWoBaxEApS7LiRsz/v1/bd167bl-hub-french-tricolour-hound-adult-standing?w=320&fm=jpg&auto=compress,"El Sabueso Francés Tricolor es una mezcla de Gran Sabueso Anglo-Francés Tricolor, Poitevino y Billy. El objetivo era crear un sabueso con menos sangre inglesa para cazar venados y jabalíes en manadas. Estos perros de caza son grandes y de aspecto elegante y musculoso. Los Sabuesos Franceses Tricolor son perros de constitución atlética con un alto rendimiento. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Francia,Grande,12–15 años,Independiente,Alegre,Trabajador,,,,Requiere espacio exterior,,Un gran perro para una familia,,,Necesita cuidados moderados,,
